"website","Service","City","Name","Str","DealerNr","PLZ2","Phone","Plz","Revenue_Split_raw","Factor_Split","Latitude","Profit_raw","Longitude","Revenue_total","Profit","Revenue","DealerFactor"
"http:/www.amore-automobile.de","New Cars","Berlin","Amore Automobile Moresco e.K.","Mariannenstraße 9-10","1","10","+49 30 6167040","10999",10311379,0.52,52.499662,0.06,13.42247,19829575,309341,5155689.5,0.5
"http:/www.vw-autohausberlinpankow.de","New Cars","Berlin","ASB Autohaus Berlin GmbH Berliner Str.","Berliner Straße 100","2","13","+49 30 479950","13189",9421993,0.54,52.368868,0.06,13.470358,17448136,570973,9516212.93,1.01
"http:/www.vw.volkswagen-automobile-berlin.de","New Cars","Berlin","Volkswagen Automobile Berlin GmbH Franklinstr.","Franklinstr. 5","3","10","+49 30 89081200","10587",6664732,0.55,52.464207,0.08,13.404865,12117695,783772,9797156.04,1.47
,"New Cars","Berlin","Andreas Witt GmbH","Strausberger Straße 1 u. 2","4","13","+49 30 9710790","13055",10018923,0.51,52.541452,0.07,13.488173,19644948,455861,6512299.95,0.65
"http:/www.vw.volkswagen-automobile-berlin.de","New Cars","Berlin","Volkswagen Automobile Berlin GmbH Oberlandstr.","Oberlandstr. 40-41","5","12","+49 30 89081000","12099",13895412,0.52,52.52045,0.05,13.40732,26721946,847620,16952402.64,1.22
"http:/www.volkswagen-service-autohaus-europa.de","New Cars","Berlin","J.H. Auto(h)aus Europa GmbH","Siegfriedstraße 150","6","10","+49 30 5779930","10365",7434417,0.52,52.528827,0.04,13.499454,14296955,478776,11969411.37,1.61
"http:/www.autohaus-thomas-kapinsky.de","New Cars","Berlin","Autohaus Thomas Kapinsky GmbH & Co. KG","Blankenburger Straße 95","7","13","+49 30 4789960","13089",9231270,0.53,52.573267,0.08,13.443985,17417490,1107752,13846905,1.5
,"New Cars","Berlin","Willi Britsch GmbH","Grenzallee 100","8","12","+49 30 689850","12057",8473987,0.53,52.464327,0.05,13.446074,15988655,521150,10423004.01,1.23
"http:/www.volkswagen-moebus.de","New Cars","Berlin","Autohaus Möbus GmbH","Hansastraße 202","9","13","+49 30 9627620","13088",8521568,0.54,52.557932,0.04,13.492706,15780682,402218,10055450.24,1.18
"http:/www.volkswagen-autohaus-pusch.de","New Cars","Berlin","Wilhelm Pusch Kraftfahrzeuge GmbH & Co. KG","Mecklenburgische Straße 23","10","14","+49 30 8209070","14197",8807827,0.56,52.479611,0.05,13.310888,15728262,290658,5813165.82,0.66
"http:/www.volkswagen-berolina.de","New Cars","Berlin","Autohaus Berolina GmbH Cicerostr.","Cicerostraße 34","11","10","+49 30 338009142","10709",9030459,0.51,52.490626,0.05,13.301218,17706783,790165,15803303.25,1.75
"http:/www.autohaus-friedrichthiele-berlin.de","New Cars","Berlin","Friedrich Thiele OHG","Sophie-Charlotten-Straße 7","12","14","+49 30 3267600","14059",14138193,0.58,52.521685,0.04,13.284828,24376195,361938,9048443.52,0.64
"http:/www.vw.autohaus-berlin.de","New Cars","Berlin","ASB Autohaus Berlin GmbH Marzahn","Marzahner Chaussee 234","13","12","+49 30 547970","12681",7940499,0.51,52.53081,0.05,13.531643,15569606,333501,6670019.16,0.84
"http:/www.volkswagen-berolina.de","New Cars","Berlin","Autohaus Berolina GmbH Ringstr.","Ringstraße 50","14","12","+49 30 338009390","12105",10543370,0.53,52.442463,0.04,13.377478,19893151,809731,20243270.4,1.92
,"New Cars","Berlin","Auto Barth GmbH","Friedrichshaller Straße 39-40","15","14","+49 30 8979790","14199",8880223,0.57,52.475381,0.06,13.294983,15579339,522157,8702618.54,0.98
"http:/www.vw-laatzig-berlin.de","New Cars","Berlin","Hans Laatzig Automobile GmbH","Eichhorster Weg 91","16","13","+49 30 4090030","13435",9282128,0.57,52.602944,0.08,13.334898,16284435,1202964,15037047.36,1.62
"http:/www.vw.volkswagen-automobile-berlin.de","New Cars","Berlin","Volkswagen Automobile Berlin GmbH Berliner Str.","Berliner Straße 68","17","13","+49 30 89081800","13507",13231497,0.5,52.582073,0.08,13.290807,26462994,1598365,19979560.47,1.51
"http:/www.volkswagen-automobile-libera.de","New Cars","Berlin","Automobile Libera","Säntisstr. 51 - 57","18","12","+49 30 7431041","12277",7809472,0.52,52.52045,0.07,13.40732,15018216,1011327,14447523.2,1.85
"http:/www.vw.volkswagen-automobile-berlin.de","New Cars","Berlin","Volkswagen Automobile Berlin GmbH am Juliusturm","Am Juliusturm 10","19","13","+49 30 89081400","13599",13703253,0.54,52.538438,0.04,13.229127,25376394,811233,20280814.44,1.48
"http:/www.volkswagen-zellmann-berlin.de","New Cars","Berlin","Auto-Zellmann GmbH","Rudower Straße 25 - 29","20","12","+49 30 6797210","12524",7056917,0.54,52.433998,0.06,13.469765,13068365,846830,14113834,2
"http:/www.vw.volkswagen-automobile-berlin.de","New Cars","Berlin","Volkswagen Automobile Berlin GmbH Goerzallee","Goerzallee 251","21","14","+49 30 89081600","14167",8911374,0.52,52.415247,0.04,13.283711,17137258,299422,7485554.16,0.84
"http:/www.volkswagen-berolina.de","New Cars","Berlin","Audi Zentrum Berlin-Spandau GmbH","Brunsbütteler Damm 40-50","22","13","+49 30 338009490","13581",8391208,0.5,52.533099,0.08,13.156191,16782415,624306,7803823.44,0.93
,"New Cars","Berlin","Klaus Piontek GmbH","Waltersdorfer Chaussee 18-20","23","12","+49 30 6097070","12355",12585584,0.58,52.415723,0.08,13.497994,21699282,1329038,16612970.88,1.32
"http:/www.vw-auto-adler.de","New Cars","Berlin","AUTO-Adler GmbH","Wendenschloßstraße 290","24","12","+49 30 6580190","12557",11341971,0.5,52.429732,0.07,13.583759,22683941,746302,10661452.74,0.94
,"New Cars","München","Handler München",,"25","80",,"80",14076529,0.5,48.135125,0.05,11.581981,28153057,108389273,2167785466,154
,"New Cars","Stuttgart","Händler Stuttgart",,"26","70",,"70",9747548,0.51,48.775846,0.06,9.182932,19112840,60824700,1013744992,104
,"New Cars","Frankfurt","Händler Frankfurt",,"27","60",,"60",5450414,0.51,50.110922,0.07,8.682127,10687086,29377731,419681878,77
,"New Cars","Düsseldorf","Händler Düsseldorf",,"28","40",,"40",9406461,0.5,51.227741,0.04,6.773456,18812922,63587676,1589691909,169
,"New Cars","Hamburg","Händler Hamburg",,"29","20",,"20",11908834,0.53,53.551085,0.07,9.993682,22469499,42514537,607350534,51
,"New Cars","Hannover","Händler Hannover",,"30","30",,"30",14037510,0.51,52.375892,0.04,9.73201,27524530,145428604,3635715090,259
,"New Cars","Erfurt","Händler Erfurt",,"31","99",,"99",10997252,0.5,50.984768,0.04,11.02988,21994503,7478131,186953284,17
,"New Cars","Schwerin","Händler Schwerin",,"32","19",,"19",16103826,0.54,53.635502,0.05,11.40125,29821900,8857104,177142086,11
,"New Cars","Kiel","Händler Kiel",,"33","24",,"24",12001403,0.56,54.323292,0.04,10.122765,21431077,12481459,312036478,26
,"New Cars","Potsdam","Händler Potsdam",,"34","14",,"14",8018845,0.52,52.396149,0.08,13.05854,15420856,9622614,120282675,15
,"New Cars","Leipzig","Händler Leipzig",,"35","04",,"04",13170734,0.56,51.339695,0.05,12.373075,23519168,20414638,408292754,31
,"New Cars","Saarbrücken","Händler Saarbrücken",,"36","66",,"66",5870098,0.58,49.234779,0.08,6.9944,10120858,1878431,23480392,4
,"New Cars","Wiesbaden","Händler Wiesbaden",,"37","65",,"65",12163305,0.51,50.078217,0.06,8.239761,23849618,22623747,377062455,31
,"New Cars","Bremen","Händler Bremen",,"38","28",,"28",8353285,0.51,53.079296,0.04,8.801694,16378991,1670657,41766425,5
,"New Cars","Magdeburg","Händler Magdeburg",,"39","39",,"39",13142387,0.57,52.131672,0.04,11.64032,23056819,8936823,223420579,17
"http:/www.amore-automobile.de","Used Cars","Berlin","Amore Automobile Moresco e.K.","Mariannenstraße 9-10","1","10","+49 30 6167040","10999",4560802,0.23,52.499662,0.17,13.42247,19829575,387668,2280401,0.5
"http:/www.vw-autohausberlinpankow.de","Used Cars","Berlin","ASB Autohaus Berlin GmbH Berliner Str.","Berliner Straße 100","2","13","+49 30 479950","13189",3489627,0.2,52.368868,0.17,13.470358,17448136,599169,3524523.27,1.01
