website,Category,City,Category_Name,Date,Name,Str,PLZ2,Phone,Engine,Dealer,Plz,Cars,Revenue_per_Car,Revenue_Sum,DealerFactor_Cars,Latitude,Avg_CO2_Emission,Sum_CO2_Emission,Longitude,Margin_per_Car,Cars_Raw,Margin
0,Compact,Berlin,1-Compact,01/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,15,22704,340560,0.88,52.499662,103,1545,13.42247,0.059,17,20093
0,Compact,Berlin,1-Compact,02/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,40,23428,937120,0.88,52.499662,96,3840,13.42247,0.06,46,56227
0,Compact,Berlin,1-Compact,03/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,11,23678,260458,0.88,52.499662,98,1078,13.42247,0.06,13,15627
0,Compact,Berlin,1-Compact,04/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,12,23193,278316,0.88,52.499662,105,1260,13.42247,0.058,14,16142
0,Compact,Berlin,1-Compact,05/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,14,22584,316176,0.88,52.499662,96,1344,13.42247,0.053,16,16757
0,Compact,Berlin,1-Compact,06/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,49,22905,1122345,0.88,52.499662,97,4753,13.42247,0.051,56,57240
0,Compact,Berlin,1-Compact,07/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,14,23864,334096,0.88,52.499662,102,1428,13.42247,0.053,16,17707
0,Compact,Berlin,1-Compact,08/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,14,22903,320642,0.88,52.499662,100,1400,13.42247,0.063,16,20200
0,Compact,Berlin,1-Compact,09/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,17,22903,389351,0.88,52.499662,102,1734,13.42247,0.061,19,23750
0,Compact,Berlin,1-Compact,10/01/2019,Amo Automobile go.,Mariannenstraße 9-10,10,0,Combustion,1,10999,18,22764,409752,0.88,52.499662,104,1872,13.42247,0.065,20,26634
