website,Service,City,Name,Str,DealerNr,PLZ2,Phone,Plz,Revenue_Split_raw,Factor_Split,Latitude,Profit_raw,Longitude,Revenue_total,Profit,Revenue,DealerFactor
0,New Cars,Berlin,Amo Automobile go.,Mariannenstraße 9-10,1,10,0,10999,10311379,0.52,52.499662,0.06,13.42247,19829575,309341,5155689.5,0.5
0,New Cars,Berlin,Autohoo Berlin Berliner Str.,Berliner Straße 100,2,13,0,13189,9421993,0.54,52.368868,0.06,13.470358,17448136,570973,9516212.93,1.01
0,New Cars,Berlin,Atoforce Automobile Berlin GmbH Franklinstr.,Franklinstr. 5,3,10,0,10587,6664732,0.55,52.464207,0.08,13.404865,12117695,783772,9797156.04,1.47
0,New Cars,Berlin,Andrea Noir,Strausberger Straße 1 u. 2,4,13,0,13055,10018923,0.51,52.541452,0.07,13.488173,19644948,455861,6512299.95,0.65
0,New Cars,Berlin,Autoforce Automobile Berlin GmbH Oberlandstr.,Oberlandstr. 40-41,5,12,0,12099,13895412,0.52,52.52045,0.05,13.40732,26721946,847620,16952402.64,1.22
0,New Cars,Berlin,G.A. Autoaus Europa GmbH,Siegfriedstraße 150,6,10,0,10365,7434417,0.52,52.528827,0.04,13.499454,14296955,478776,11969411.37,1.61
0,New Cars,Berlin,Autohaus Henk Koutmann GmbH,Blankenburger Straße 95,7,13,0,13089,9231270,0.53,52.573267,0.08,13.443985,17417490,1107752,13846905,1.5
0,New Cars,Berlin,Gerta Britsch GmbH,Grenzallee 100,8,12,0,12057,8473987,0.53,52.464327,0.05,13.446074,15988655,521150,10423004.01,1.23
0,New Cars,Berlin,Autohaus Kobo GmbH,Hansastraße 202,9,13,0,13088,8521568,0.54,52.557932,0.04,13.492706,15780682,402218,10055450.24,1.18
0,New Cars,Berlin,Wilhelm Zakkoro GmbH & Co.,Mecklenburgische Straße 23,10,14,0,14197,8807827,0.56,52.479611,0.05,13.310888,15728262,290658,5813165.82,0.66
0,New Cars,Berlin,Autohaus fomohaus GmbH.,Cicerostraße 34,11,10,0,10709,9030459,0.51,52.490626,0.05,13.301218,17706783,790165,15803303.25,1.75
0,New Cars,Berlin,Friereich olson OHG,Sophie-Charlotten-Straße 7,12,14,0,14059,14138193,0.58,52.521685,0.04,13.284828,24376195,361938,9048443.52,0.64
0,New Cars,Berlin,Autohaus Berlin GmbH zorro,Marzahner Chaussee 234,13,12,0,12681,7940499,0.51,52.53081,0.05,13.531643,15569606,333501,6670019.16,0.84
0,New Cars,Berlin,Autohaus Katrina GmbH.,Ringstraße 50,14,12,0,12105,10543370,0.53,52.442463,0.04,13.377478,19893151,809731,20243270.4,1.92
0,New Cars,Berlin,Auto Barthamo GmbH,Friedrichshaller Straße 39-40,15,14,0,14199,8880223,0.57,52.475381,0.06,13.294983,15579339,522157,8702618.54,0.98
0,New Cars,Berlin,Klaus mans Automobile GmbH,Eichhorster Weg 91,16,13,0,13435,9282128,0.57,52.602944,0.08,13.334898,16284435,1202964,15037047.36,1.62
0,New Cars,Berlin,Autoforce Automobile Berlin GmbH Berliner Str.,Berliner Straße 68,17,13,0,13507,13231497,0.5,52.582073,0.08,13.290807,26462994,1598365,19979560.47,1.51
0,New Cars,Berlin,Automobile Lieftwieren,Säntisstr. 51 - 57,18,12,0,12277,7809472,0.52,52.52045,0.07,13.40732,15018216,1011327,14447523.2,1.85
0,New Cars,Berlin,Autoforce Automobile Berlin GmbH am Juliusturm,Am Juliusturm 10,19,13,0,13599,13703253,0.54,52.538438,0.04,13.229127,25376394,811233,20280814.44,1.48
0,New Cars,Berlin,Auto-bart GmbH,Rudower Straße 25 - 29,20,12,0,12524,7056917,0.54,52.433998,0.06,13.469765,13068365,846830,14113834,2
0,New Cars,Berlin,Autoforce Automobile Berlin GmbH Goerzallee,Goerzallee 251,21,14,0,14167,8911374,0.52,52.415247,0.04,13.283711,17137258,299422,7485554.16,0.84
0,New Cars,Berlin,Autoforce Zentrum Berlin GmbH,Brunsbütteler Damm 40-50,22,13,0,13581,8391208,0.5,52.533099,0.08,13.156191,16782415,624306,7803823.44,0.93
0,New Cars,Berlin,Mart Piontek GmbH,Waltersdorfer Chaussee 18-20,23,12,0,12355,12585584,0.58,52.415723,0.08,13.497994,21699282,1329038,16612970.88,1.32
0,New Cars,Berlin,AUTO-waardler GmbH,Wendenschloßstraße 290,24,12,0,12557,11341971,0.5,52.429732,0.07,13.583759,22683941,746302,10661452.74,0.94
0,New Cars,München,Handler München,,25,80,0,80,14076529,0.5,48.135125,0.05,11.581981,28153057,108389273,2167785466,154
0,Used Cars,Berlin,Amo Automobile go.,Mariannenstraße 9-10,1,10,0,10999,4560802,0.23,52.499662,0.17,13.42247,19829575,387668,2280401,0.5
0,Used Cars,Berlin,Autohoo Berlin Berliner Str.,Berliner Straße 100,2,13,0,13189,3489627,0.2,52.368868,0.17,13.470358,17448136,599169,3524523.27,1.01
0,Used Cars,Berlin,Atoforce Automobile Berlin GmbH Franklinstr.,Franklinstr. 5,3,10,0,10587,2423539,0.2,52.464207,0.15,13.404865,12117695,534390,3562602.33,1.47
0,Used Cars,Berlin,Andrea Noir,Strausberger Straße 1 u. 2,4,13,0,13055,4518338,0.23,52.541452,0.15,13.488173,19644948,440538,2936919.7,0.65
0,Used Cars,Berlin,Autoforce Automobile Berlin GmbH Oberlandstr.,Oberlandstr. 40-41,5,12,0,12099,6146048,0.23,52.52045,0.13,13.40732,26721946,974763,7498178.56,1.22
0,Used Cars,Berlin,G.A. Autoaus Europa GmbH,Siegfriedstraße 150,6,10,0,10365,3288300,0.23,52.528827,0.17,13.499454,14296955,900008,5294163,1.61
